,Ranking,Total Amount,待完善,Excluded bcz citizenship/SOE/edc,Name (EN),Name (CN),Comment,Year born,Age,Sex,Ethnicity,Bio Link,Industry,Company Name,Company Name (CN),Publicly Listed? (Y/N),Company Position,Corporate HQ (Province),Corporate HQ (City),Company Link,Donor Entity Name,Donation Amount (mil ¥),Donation Month,Donation Date,Donation Origin (Province),Donation Origin (City),Donation Destination (Province),Donation Destination (City),Name of Recipient,Name of Recipient (CN),Donation for what program?,Type of Recipient,Donation Cause,Donation Vehicle,Form of Donation,Pledge? (Y/N),UID-Don't Delete,Donation Link,Donatlon Link 2,Donation Link 3,Other Donation Link(s),"Human Search (1,2,3,4)","Web Crawler (1,2,3,4)","Self-Report (1,2,3,4)","Foundation (1,2,3,4)",CFC Validated? (Y/N),Source Type,Receipt? (Y/N),Credibility,Researcher,Last Update,Web Crawler Platform,Search Term
Y,4,1072,,,Wang Jianlin,王健林,,,,,,,,,,,,,,,南昌万达城投资有限公司,50,9,16,Jiangxi,Nanchang,Liaoning,Dalian,Dalian Charity Foundation,大连慈善基金会,其他限定（总会）,Government Charitable Organization,Education,Corporation,Cash,N,王健林-南昌万达城投资有限公司-50-9-Dalian Charity Foundation-大连慈善基金会,http://www.dlcf.org.cn:88,,,,,,,1st,,,,,Xueshan Zhang,1/9/2017,,
Y,4,1072,,,Wang Jianlin,王健林,,1954,62,M,Han,Link,Real Estate,Dalian Wanda Group,大连万达集团,Y,Chairman,Beijing,Beijing,Link,Dalian Wanda Group,10,2,2,Beijing,Beijing,Liaoning,Dalian,Dalian Charity Federation,,,Government Charitable Organization,Social Welfare & Poverty Alleviation,Corporation,Cash,N,王健林-Dalian Wanda Group-10-2-Dalian Charity Federation-,,,,,1st,,,2nd,,One from third party,,Need to check with receiver,Zijia Guo,2016/2/22,,
Y,4,1072,,,Wang Jianlin,王健林,,,,,,,,,,,,,,,Dalian Wanda Group,10,7,20,Beijing,Beijing,Shandong,Qingdao,Qingdao Education Development Fund,,,Government Charitable Organization,Education,Corporation,Cash,N,王健林-Dalian Wanda Group-10-7-Qingdao Education Development Fund-,,,,,1st,,,,,One credible third part,,Y,Huang YiQing,2016/12/2,,
Y,4,1072,,,Wang Jianlin,王健林,,,,,,,,,,,,,,,万达互联网金融服务（上海）有限公司,2,11,12,Shanghai,Shanghai,Beijing,Beijing,China Foundation for Development of Financial Education,中国金融教育发展基金会,中国互联网金融教育项目,Government Charitable Organization,Education,Corporation,Cash,N,王健林-万达互联网金融服务（上海）有限公司-2-11-China Foundation for Development of Financial Education-中国金融教育发展基金会,http://www.cfdfe.cn/html/category/43-1.htm,,,,,,,1st,,,,,Xueshan Zhang,1/9/2017,,
Y,5,673,,,Yang Huiyan,杨惠妍,,,,,,,,,,,,,,,Yang Guoqiang and Yang Huiyan,500,7,8,Guangdong,Shunde,Guangdong,,Guangdong Government,,,Government,Social Welfare & Poverty Alleviation,Individual,Cash,N,杨惠妍-Yang Guoqiang and Yang Huiyan-500-7-Guangdong Government-,Link,,,,1st,,,,,One from credible thrid party,,Y,Huang YiQing,2016/12/2,,
Y,5,673,,,Yang Huiyan,杨惠妍,,,,,,,,,,,,,,,Yang Guoqiang and Yang Huiyan,100,9,17,Guangdong,Shunde,Guangdong,Guangzhou,Sun Yat-Sen University,,,University or University Foundation,Education,Individual,Cash,N,杨惠妍-Yang Guoqiang and Yang Huiyan-100-9-Sun Yat-Sen University-,Link1,Link2,Link3,,1st,,,,,"One from receiver, others from third party",,Y,Yanhan Zhao,2016/2/23,,
Y,5,673,,,Yang Huiyan,杨惠妍,,,,,,,,,,,,,,,增城市碧桂园物业发展有限公司,5,10,31,Guangdong,Zengcheng,Guangdong,Guangzhou,Guangdong Foundation for Poverty Alleviation,广东省扶贫基金会,,Government Charitable Organization,Social Welfare & Poverty Alleviation,Corporation,Cash,N,杨惠妍-增城市碧桂园物业发展有限公司-5-10-Guangdong Foundation for Poverty Alleviation-广东省扶贫基金会,Link,,,,,,,1st,,,,,Yingyu Li,1/12/2017,,
Y,5,673,,,Yang Huiyan,杨惠妍,,,,,,,,,,,,,,,增城市碧桂园物业发展有限公司,5,10,31,Guangdong,Zengcheng,Guangdong,Guangzhou,Guangdong Foundation for Poverty Alleviation,广东省扶贫基金会,,Government Charitable Organization,Social Welfare & Poverty Alleviation,Corporation,Cash,N,杨惠妍-增城市碧桂园物业发展有限公司-5-10-Guangdong Foundation for Poverty Alleviation-广东省扶贫基金会,Link,,,,,,,1st,,,,,Yingyu Li,1/12/2017,,
Y,5,673,,,Yang Huiyan,杨惠妍,,,,,,,,,,,,,,,增城市碧桂园物业发展有限公司,5,10,31,Guangdong,Zengcheng,Guangdong,Guangzhou,Guangdong Foundation for Poverty Alleviation,广东省扶贫基金会,,Government Charitable Organization,Social Welfare & Poverty Alleviation,Corporation,Cash,N,杨惠妍-增城市碧桂园物业发展有限公司-5-10-Guangdong Foundation for Poverty Alleviation-广东省扶贫基金会,Link,,,,,,,1st,,,,,Yingyu Li,1/12/2017,,
Y,5,673,,,Yang Huiyan,杨惠妍,,,,,,,,,,,,,,,增城市碧桂园物业发展有限公司,5,10,31,Guangdong,Zengcheng,Guangdong,Guangzhou,Guangdong Foundation for Poverty Alleviation,广东省扶贫基金会,,Government Charitable Organization,Social Welfare & Poverty Alleviation,Corporation,Cash,N,杨惠妍-增城市碧桂园物业发展有限公司-5-10-Guangdong Foundation for Poverty Alleviation-广东省扶贫基金会,Link,,,,,,,1st,,,,,Yingyu Li,1/12/2017,,
